Dataset,Bins,Method,Accuracy,G-mean,Training_Time,Tree_Depth
CinCECGTorso,,KNN-RoC,0.8971014492753623,,3.881798028945923,
CinCECGTorso,,DETS,0.9869565217391304,,10.172157049179077,2.5
CinCECGTorso,3,Classic,0.273,0.0,0.16,2.0
CinCECGTorso,3,RLR,0.36,0.0,0.108,3.0
CinCECGTorso,5,Classic,0.319,0.22,1.152,6.0
CinCECGTorso,5,RLR,0.378,0.327,0.203,4.0
CinCECGTorso,7,Classic,0.31,0.25,2.059,9.0
CinCECGTorso,7,RLR,0.297,0.274,0.198,4.0
ECG200,,KNN-RoC,0.88,,2.277891159057617,
ECG200,,DETS,0.85,,0.19474196434020996,5.72
ECG200,3,Classic,0.7,0.71,0.094,4.0
ECG200,3,RLR,0.68,0.37,0.166,3.0
ECG200,5,Classic,0.62,0.604,0.208,6.0
ECG200,5,RLR,0.67,0.453,0.193,3.0
ECG200,7,Classic,0.71,0.631,0.224,4.0
ECG200,7,RLR,0.6,0.466,0.206,5.0
ECG5000,,KNN-RoC,0.9248888888888889,,619.8661687374115,
ECG5000,,DETS,0.9411111111111111,,1.5775878429412842,9.17
ECG5000,3,Classic,0.64,0.0,1.719,6.0
ECG5000,3,RLR,0.765,0.0,0.553,5.0
ECG5000,5,Classic,0.809,0.0,2.889,9.0
ECG5000,5,RLR,0.858,0.0,0.963,6.0
ECG5000,7,Classic,0.856,0.0,4.442,8.0
ECG5000,7,RLR,0.851,0.0,0.956,7.0
ECGFiveDays,,KNN-RoC,0.7967479674796748,,6.316541910171509,
ECGFiveDays,,DETS,0.9639953542392566,,0.23789501190185547,1.8
ECGFiveDays,3,Classic,0.497,0.0,0.022,1.0
ECGFiveDays,3,RLR,0.497,0.0,0.045,1.0
ECGFiveDays,5,Classic,0.497,0.0,0.052,1.0
ECGFiveDays,5,RLR,0.626,0.583,0.041,2.0
ECGFiveDays,7,Classic,0.51,0.394,0.092,2.0
ECGFiveDays,7,RLR,0.497,0.0,0.01,1.0
NonInvasiveFetalECGThorax1,,KNN-RoC,0.8290076335877863,,4654.765809059143,
NonInvasiveFetalECGThorax1,,DETS,0.8763358778625954,,29.241242170333862,13.61
NonInvasiveFetalECGThorax1,3,Classic,0.055,0.0,3.418,3.0
NonInvasiveFetalECGThorax1,3,RLR,0.073,0.0,6.094,4.0
NonInvasiveFetalECGThorax1,5,Classic,0.09,0.0,12.342,6.0
NonInvasiveFetalECGThorax1,5,RLR,0.084,0.0,7.041,4.0
NonInvasiveFetalECGThorax1,7,Classic,0.152,0.0,41.4,14.0
NonInvasiveFetalECGThorax1,7,RLR,0.113,0.0,27.656,9.0
NonInvasiveFetalECGThorax2,,KNN-RoC,0.8798982188295166,,4673.5156490802765,
NonInvasiveFetalECGThorax2,,DETS,0.9048346055979644,,28.31671404838562,13.31
NonInvasiveFetalECGThorax2,3,Classic,0.052,0.0,4.857,3.0
NonInvasiveFetalECGThorax2,3,RLR,0.05,0.0,5.993,4.0
NonInvasiveFetalECGThorax2,5,Classic,0.119,0.0,16.986,9.0
NonInvasiveFetalECGThorax2,5,RLR,0.075,0.0,6.618,4.0
NonInvasiveFetalECGThorax2,7,Classic,0.166,0.0,42.91,13.0
NonInvasiveFetalECGThorax2,7,RLR,0.107,0.0,26.341,10.0
TwoLeadECG,,KNN-RoC,0.7471466198419666,,5.274999141693115,
TwoLeadECG,,DETS,0.8121158911325724,,0.22826695442199707,2.55
TwoLeadECG,3,Classic,0.5,0.0,0.022,1.0
TwoLeadECG,3,RLR,0.5,0.0,0.033,1.0
TwoLeadECG,5,Classic,0.73,0.711,0.067,5.0
TwoLeadECG,5,RLR,0.725,0.687,0.04,2.0
TwoLeadECG,7,Classic,0.756,0.752,0.043,3.0
TwoLeadECG,7,RLR,0.737,0.735,0.063,3.0
